 :::: VPP results :::: 
      V_tw   alfa_tw         V       VMG       phi         b         F    Fdrive     Fside     Mheel      Rtot  Rrh+RrhH  Rvh+RvhH  Rrk+RrkH       Rvk        Ri       Rvr
     [m/s]     [deg]     [m/s]     [m/s]     [deg]       [m]       [-]       [N]       [N]      [Nm]       [N]       [N]       [N]       [N]       [N]       [N]       [N]
      0.10     40.00      0.07      0.06      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     41.00      0.07      0.06      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     42.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     43.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     44.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     45.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     46.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     47.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     48.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     49.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     50.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     51.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     52.00      0.07      0.05      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     53.00      0.07      0.04      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     54.00      0.07      0.04      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     55.00      0.07      0.04      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     56.00      0.07      0.04      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     57.00      0.07      0.04      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     58.00      0.07      0.04      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     59.00      0.07      0.04      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     60.00      0.08      0.04      0.02      0.00      1.00      0.00      0.02      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     61.00      0.08      0.04      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     62.00      0.08      0.04      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     63.00      0.08      0.03      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     64.00      0.08      0.03      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     65.00      0.08      0.03      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     66.00      0.08      0.03      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     67.00      0.08      0.03      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     68.00      0.08      0.03      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     69.00      0.08      0.03      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     70.00      0.08      0.03      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     71.00      0.08      0.02      0.02      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     72.00      0.08      0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     73.00      0.08      0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     74.00      0.08      0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     75.00      0.08      0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     76.00      0.08      0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     77.00      0.08      0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     78.00      0.08      0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     79.00      0.08      0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     80.00      0.08      0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     81.00      0.08      0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     82.00      0.08      0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     83.00      0.08      0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     84.00      0.08      0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     85.00      0.08      0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     86.00      0.08      0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     87.00      0.08      0.00      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     88.00      0.08      0.00      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     89.00      0.08      0.00      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     90.00      0.08      0.00      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     91.00      0.08     -0.00      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     92.00      0.08     -0.00      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     93.00      0.08     -0.00      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     94.00      0.08     -0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     95.00      0.08     -0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     96.00      0.08     -0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     97.00      0.08     -0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     98.00      0.08     -0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10     99.00      0.08     -0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    100.00      0.08     -0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    101.00      0.08     -0.01      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    102.00      0.08     -0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    103.00      0.07     -0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    104.00      0.07     -0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    105.00      0.07     -0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    106.00      0.07     -0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    107.00      0.07     -0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
      0.10    108.00      0.07     -0.02      0.01      0.00      1.00      0.00      0.01      0.01      0.00     -0.00      0.03     -0.05      0.01      0.00      0.00 
